event_time,trip_id,stop_sequence,ron,fon,roff,foff
2019-09-04 00:08:39,911258020,14,0,1,0,0
2019-09-04 00:09:21,911258020,15,0,0,0,0
2019-09-04 00:09:51,911258020,16,0,0,0,1
2019-09-04 00:10:36,911258020,17,0,0,0,1
2019-09-04 00:11:17,911258020,17,0,0,1,0
2019-09-04 00:11:41,911258020,18,0,0,0,0
2019-09-04 00:00:25,911257020,54,0,0,2,4
2019-09-04 00:00:45,911257020,55,0,0,0,0
2019-09-04 00:01:00,911257020,56,0,0,0,0
2019-09-04 00:11:56,911258020,19,0,0,0,0
2019-09-04 00:01:09,911257020,57,0,0,0,0
2019-09-04 00:01:47,911257020,58,0,0,0,0
2019-09-04 00:02:02,911257020,59,0,0,0,0
2019-09-04 00:02:22,911257020,60,0,0,0,0
2019-09-04 00:14:28,911258020,22,0,0,0,0
2019-09-04 00:05:21,911258020,8,0,0,0,0
2019-09-04 00:05:35,911258020,9,0,0,0,0
2019-09-04 00:05:49,911258020,10,0,0,0,0
2019-09-04 00:06:15,911258020,11,0,2,0,0
2019-09-04 00:07:26,911258020,12,0,0,0,0
2019-09-04 00:08:00,911258020,13,0,0,0,0
2019-09-04 00:00:04,911257020,54,0,0,0,0
2019-09-04 00:12:16,911258020,20,0,0,0,0
2019-09-04 00:13:51,911258020,21,0,0,0,0
2019-09-04 00:03:13,911257020,61,0,0,0,1
2019-09-04 00:03:36,911258020,1,0,1,0,0
2019-09-04 00:04:04,911258020,2,0,0,0,0
2019-09-04 00:04:13,911258020,3,0,0,0,0
2019-09-04 00:04:22,911258020,4,0,0,0,0
2019-09-04 00:04:33,911258020,5,0,0,0,0
2019-09-04 00:05:02,911258020,6,0,0,0,0
2019-09-04 00:05:12,911258020,7,0,0,0,0
2019-09-04 00:05:32,911872020,22,0,0,1,1
2019-09-04 00:06:12,911872020,23,0,0,0,0
2019-09-04 00:06:22,911872020,23,0,1,0,0
2019-09-04 00:06:32,911872020,23,0,0,0,0
2019-09-04 00:06:57,911872020,24,0,0,0,0
2019-09-04 00:07:25,911872020,25,0,0,0,0
2019-09-04 00:07:41,911872020,26,0,0,0,0
2019-09-04 01:13:08,911874020,49,0,0,1,0
2019-09-04 01:13:55,911874020,50,0,0,0,0
2019-09-04 01:14:07,911874020,51,0,0,0,0
2019-09-04 01:14:32,911874020,51,0,0,0,0
2019-09-04 01:14:36,911874020,51,0,2,0,0
2019-09-04 01:15:17,911874020,52,0,0,0,0
2019-09-04 01:15:44,911874020,53,0,0,0,0
2019-09-04 00:48:28,911874020,9,0,1,0,0
2019-09-04 00:49:25,911874020,10,0,0,0,0
2019-09-04 00:50:06,911874020,11,0,0,0,0
2019-09-04 00:27:11,911872020,58,0,0,0,0
2019-09-04 00:27:34,911872020,58,0,0,1,0
2019-09-04 00:27:50,911872020,59,0,0,0,0
2019-09-04 00:28:33,911872020,60,0,0,0,0
2019-09-04 00:29:09,911872020,61,0,0,0,0
2019-09-04 01:30:47,911875020,22,0,0,1,4
2019-09-04 00:15:47,911872020,40,0,0,0,1
2019-09-04 00:16:15,911872020,41,0,0,0,0
2019-09-04 00:16:30,911872020,42,0,0,0,0
2019-09-04 00:16:50,911872020,43,0,0,0,0
2019-09-04 00:17:09,911872020,44,0,0,0,0
2019-09-04 00:17:20,911872020,45,0,0,0,0
2019-09-04 00:17:32,911872020,45,0,0,1,2
2019-09-04 00:18:17,911872020,46,0,0,0,0
2019-09-04 01:20:53,911875020,4,0,0,0,0
2019-09-04 01:21:05,911875020,5,0,0,0,0
2019-09-04 01:21:56,911875020,6,0,0,0,0
2019-09-04 01:22:12,911875020,7,0,0,0,0
2019-09-04 01:22:22,911875020,8,0,0,0,0
2019-09-04 01:22:35,911875020,9,0,0,0,0
2019-09-04 01:23:02,911875020,10,0,0,0,0
2019-09-04 01:00:27,911874020,28,0,0,0,0
2019-09-04 01:00:42,911874020,29,0,0,0,0
2019-09-04 01:00:57,911874020,29,0,0,0,1
2019-09-04 01:01:11,911874020,30,0,0,0,0
2019-09-04 01:01:25,911874020,30,0,1,0,0
2019-09-04 01:01:47,911874020,31,0,0,0,0
2019-09-04 01:02:01,911874020,31,0,1,0,0
2019-09-04 01:02:23,911874020,32,0,0,0,0
2019-09-04 00:50:40,911874020,12,0,0,0,0
2019-09-04 00:52:00,911874020,13,0,0,0,0
2019-09-04 00:52:22,911874020,14,0,0,0,0
2019-09-04 00:52:44,911874020,15,0,0,0,0
